s_id,s_brand,s_name,s_gu,s_address,s_lat,s_lng,e_id,e_brand,e_name,e_gu,e_address,e_lat,e_lng
1,STARBUCKS,신용산역,용산구,"서울특별시 용산구 한강대로 95 (한강로2가, 래미안용산)",37.52870200000000,126.96675700000000,616,EDIYA,IBK고객센터점,용산구,"서울 용산구 한남대로 72 (한남동, IBK기업은행고객센터)",37.53507440000000,127.00701240000000
2,STARBUCKS,용산아이파크몰,용산구,서울특별시 용산구 한강대로23길 55,37.52885390000000,126.96404469999993,617,EDIYA,동부이촌동점,용산구,서울 용산구 이촌로77길 19 (이촌동),37.52037139999999,126.97502380000000
3,STARBUCKS,용산전자랜드,용산구,서울특별시 용산구 청파로 74 (한강로3가),37.53286105987034,126.96100091132484,618,EDIYA,동자동점,용산구,서울 용산구 후암로 93 (동자동),37.55334230000000,126.97512130000000
4,STARBUCKS,용산역써밋R,용산구,"서울특별시 용산구 한강대로 69 (한강로2가, 용산푸르지오써밋)",37.52758600000000,126.96540100000000,619,EDIYA,삼각지점,용산구,서울 용산구 한강대로 138 (한강로2가),37.53048590000000,126.96951070000000
5,STARBUCKS,용산리첸시아,용산구,"서울특별시 용산구 백범로 341 (원효로1가, 리첸시아 용산)",37.53857100000000,126.96740900000000,620,EDIYA,숙대입구역점,용산구,서울 용산구 한강대로 289 (갈월동),37.54406080000000,126.97197220000000
6,STARBUCKS,용산해링턴스퀘어,용산구,서울특별시 용산구 서빙고로 17 (한강로3가),37.52585620000000,126.96764420000000,621,EDIYA,순천향병원점,용산구,서울 용산구 대사관로 72 ,37.53304790000000,127.00593780000000
7,STARBUCKS,효창공원앞역,용산구,"서울특별시 용산구 백범로 313 (효창동, 용산 롯데캐슬 센터포레)",37.53930500000000,126.96306000000000,622,EDIYA,용문점,용산구,서울 용산구 원효로41길 73 (원효로2가),37.53631710000001,126.96246250000000
8,STARBUCKS,용산파크타워,용산구,"서울특별시 용산구 서빙고로 67 (용산동5가, 파크타워)",37.52381800000000,126.97038900000000,623,EDIYA,용산원효점,용산구,"서울 용산구 원효로 70 (원효로4가, 신정빌딩)",37.53427760000000,126.95264130000000
9,STARBUCKS,남영동,용산구,서울특별시 용산구 한강대로 275 (갈월동),37.54283100000000,126.97224200000000,624,EDIYA,용산중앙점,용산구,서울 용산구 한강대로 52-1 (한강로3가),37.52560840000000,126.96486170000000
10,STARBUCKS,동부이촌동,용산구,서울특별시 용산구 이촌로 198 (이촌동),37.52111000000000,126.96905000000000,625,EDIYA,용산청파점,용산구,"서울 용산구 청파로71길 10 (청파동1가, 새마을금고)",37.55003870000000,126.96760590000000
11,STARBUCKS,역삼아레나빌딩,강남구,서울특별시 강남구 언주로 425 (역삼동),37.50108700000000,127.04306900000000,626,EDIYA,용산효창점,용산구,서울 용산구 효창원로66길 2 (효창동),37.54316270000000,126.96366900000000
12,STARBUCKS,논현역사거리,강남구,서울특별시 강남구 강남대로 538 (논현동),37.51017800000000,127.02222300000000,627,EDIYA,용산후암점,용산구,"서울 용산구 후암로 40-2 (후암동, 성원빌딩)",37.54948130000000,126.97766450000000
13,STARBUCKS,신사역성일빌딩,강남구,서울특별시 강남구 강남대로 584 (논현동),37.51393090000000,127.02060570000000,628,EDIYA,원효로점,용산구,서울 용산구 원효로 257 (원효로1가),37.53998010000000,126.96744700000000
14,STARBUCKS,국기원사거리,강남구,서울특별시 강남구 테헤란로 125 (역삼동),37.49951700000000,127.03149500000000,629,EDIYA,이태원역점,용산구,서울 용산구 이태원로 176 (이태원동),37.53450380000000,126.99069950000000
15,STARBUCKS,대치재경빌딩R,강남구,서울특별시 강남구 남부순환로 2947 (대치동),37.49466800000000,127.06258300000000,630,EDIYA,강남YMCA점,강남구,서울 강남구 논현동,37.51367870000000,127.03171240000000
16,STARBUCKS,봉은사역,강남구,서울특별시 강남구 봉은사로 619 (삼성동),37.51500000000000,127.06319600000000,631,EDIYA,강남구청역아이티웨딩점,강남구,"서울 강남구 학동로 338 (논현동, 강남파라곤)",37.51655130000000,127.04013910000000
17,STARBUCKS,압구정윤성빌딩,강남구,서울특별시 강남구 논현로 834 (신사동),37.52279340000000,127.02860090000000,632,EDIYA,강남논현학동점,강남구,서울 강남구 논현로131길 28 (논현동),37.51518990000000,127.02755390000000
18,STARBUCKS,코엑스별마당,강남구,서울특별시 강남구 영동대로 513 (삼성동),37.51015000000000,127.06027500000000,633,EDIYA,강남대치점,강남구,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",37.50143400000000,127.05232800000000
19,STARBUCKS,삼성역섬유센터R,강남구,서울특별시 강남구 테헤란로 518 (대치동),37.50775000000000,127.06065100000000,634,EDIYA,강남도산점,강남구,서울 강남구 도산대로37길 20 (신사동),37.52228210000000,127.03147990000000
20,STARBUCKS,압구정R,강남구,서울특별시 강남구 언주로 861 (신사동),37.52736690000000,127.03306100000000,635,EDIYA,강남율현점,강남구,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",37.47358220000000,127.10783110000000
21,STARBUCKS,수서역R,강남구,서울특별시 강남구 광평로 281 (수서동),37.48800800000000,127.10265000000000,636,EDIYA,강남자곡점,강남구,"서울 강남구 자곡로 180 (자곡동, 강남유탑유블레스)",37.47348460000000,127.10309790000000
